gene,median
GPATCH2L,6022.0
EIF1,68.0
HSD17B10,753.0
RBP7,4035.5
RPL30,37.0
HERC4,4736.0
BMP2K,4434.5
BMI1,7594.0
MAN2A1,4632.5
ANKRD36,7389.5
ELK4,4421.5
ZNF276,6206.0
SYNE3,6669.5
TBCB,948.5
ATXN1,5050.5
CTHRC1,980.0
VPS53,6161.0
RAD54L2,6287.0
ECHS1,671.0
DPM1,1010.5
LAMTOR2,959.5
MRPS26,1604.0
RAB32,785.0
NIPAL3,4530.5
JAK3,5736.5
BIRC3,4655.5
ARHGAP26,6345.5
UTRN,3870.0
NDUFB9,511.5
GIT2,3465.5
NDUFA6,654.5
CBLB,4874.0
INTS6,5126.5
KRT10,3444.0
LTA,7833.5
INO80D,6215.0
ATXN3,5983.0
EPB41,4255.0
TAF11,1715.0
DHRS7,673.5
HES6,3269.0
TSR2,1371.0
POLR2G,547.5
MRPS35,1271.5
XIAP,4030.5
NOL7,777.0
IGHM,4972.0
SREK1,3756.0
SPAG7,1137.5
EBNA1BP2,1314.5
BYSL,2817.5
SNRPB,713.5
POU2F1,6433.5
RPL36AL,88.5
ARHGAP30,4471.5
COA4,859.0
TRAK1,3952.5
RREB1,5692.0
MRPS22,1484.0
NDUFB6,1035.5
AKT1,1369.5
WSB1,1346.0
CD320,1791.0
H6PD,3451.5
HERC1,4667.5
NDUFA1,151.5
IFNAR2,4250.5
MRPL45,1588.5
PIEZO1,3987.0
TBCC,2197.0
TCEAL3,2127.75
NDUFA8,864.5
COX6C,206.0
DOCK9,5799.0
TAF13,1344.5
UBAP1L,7270.5
S100P,7544.5
MYCBP2,4274.0
PHPT1,984.0
GADD45A,2153.0
POLR2J,1680.5
HSPA13,1920.5
IMP3,1026.5
EMC7,508.0
GGN,7748.0
PARVG,5699.5
NFIL3,3108.5
RNASET2,3472.5
FABP5,825.0
SHISA5,1230.0
SBF2,5545.0
FIS1,391.0
POM121,5157.0
MFAP1,1792.5
TFPT,2669.5
TAP1,4966.5
LCOR,6493.5
MYO15B,6835.0
SPR,2107.5
FCGR2C,5937.0
MRPL28,1300.0
SPTSSA,1260.5
PTK2B,5253.0
TXN,179.5
HIPK2,4433.5
PITPNB,3440.0
COX8A,132.5
VPS13C,4431.5
ATP2A3,5603.5
PSMC3,607.0
HIGD2A,321.0
IL1RAP,4010.0
COL16A1,4505.5
GTF3C6,942.5
CELF2,2721.0
FEN1,2024.0
FOXP1,6345.5
ZMAT2,647.5
MIR186,4048.0
PPIL1,1577.0
BRD4,4313.0
MRPS21,549.0
UQCRQ,943.5
SLFN5,3395.5
CEACAM1,4310.0
MRPL34,1259.0
CD84,4720.0
PFN2,901.0
ALG13,4889.0
NLRP1,6103.0
AP1S1,797.0
MDK,1953.5
EIF4A3,824.0
RNF113A,2643.5
TLE3,4562.0
SNX29,5478.5
TIMM22,2869.0
DIDO1,4213.5
EDF1,188.5
SNRPB2,1040.0
FOLR2,1787.0
UCHL1,5907.0
GOLM1,1040.5
FCRL5,7645.5
ARIH1,2487.5
CEPT1,3181.5
ANKRD44,4920.5
FRMD4A,4894.5
METTL1,2746.0
MBP,2556.5
IL16,5010.0
EFHD1,5731.0
ZFHX3,6381.0
EIF1B,725.5
SYNRG,4801.5
SFI1,5943.0
DCTN6,1270.5
ALMS1,6534.5
VPS13B,5865.5
HAUS4,2002.0
TMEM70,2497.5
ATP6V1F,331.0
HSPA2,2950.0
WDR83OS,817.5
PTMA,90.5
EAPP,1487.0
NFIA,6197.5
MAF1,749.5
DUSP23,1495.5
MYO9A,6454.5
MALSU1,1483.5
SLBP,1126.0
TRMT12,3420.0
ITM2C,530.0
YIPF3,527.0
SEC16A,3765.0
NUPR1,343.5
MT1E,2669.0
ERH,263.0
MAD2L1BP,1427.0
KMT2C,5096.0
NXT1,2520.5
DNAH1,7121.0
UBN2,6230.0
COMMD8,2084.5
ABRACL,887.0
EP400,5131.5
DAZAP1,1281.5
CD22,6564.0
DGKH,7311.5
USP24,3854.0
SFT2D2,3752.0
TNFAIP3,3439.5
TIMM13,1827.0
CMIP,4532.0
FOXK1,5221.0
S100A4,169.5
GABBR1,7325.0
CBX7,4191.0
CCNL1,3060.0
CDC6,3847.0
AAMP,714.5
TPX2,2430.0
UQCR10,623.5
LRCH3,4332.5
DENND4A,5293.0
C1GALT1C1,2218.5
ELOF1,1373.0
GSAP,5181.5
COPS6,706.5
UFC1,348.0
EBP,1923.0
MRPL17,1944.5
FBL,650.0
UTP3,1706.5
MS4A1,7334.5
OSER1,1873.5
STARD9,7004.0
GBP4,3296.0
UNG,2292.0
GJA1,2519.5
GPX8,2290.0
RALGAPA2,6365.0
ATXN1L,4551.0
MRPL54,1236.5
COX14,1404.5
PECAM1,3431.0
DOCK5,6746.0
OSTC,278.0
HELZ,4636.0
PPID,1471.5
HMGN3,987.0
CAPN15,6010.5
GSS,1972.5
TUBB4B,572.0
SNRPC,690.5
DNPH1,1165.0
PSMD4,356.0
N4BP2L2,2471.5
COPS4,1532.5
TOR1AIP2,4681.5
BNIP3,2102.0
NR2C2,4140.25
NDUFA12,532.5
KCNMA1,6667.5
LRRK2,6185.0
DPYD,4703.0
FBRS,3200.5
MZT1,2461.0
MYC,901.0
NOTCH1,5204.5
PCGF1,2659.5
CHMP5,943.0
NUDT15,3156.5
CNPY2,680.5
CDKN2C,3641.0
PJA1,2976.5
ITSN2,4527.5
GDAP2,6343.0
CKB,4284.5
CD81,76.0
TSPAN6,3039.0
RPL36A,6638.0
NBEAL1,7144.5
COA3,1544.0
TRRAP,4459.0
TMEM101,1766.5
PLD1,5351.5
PHF23,1583.5
SLC35B1,1475.0
SEL1L3,4531.5
MED11,2863.0
NFAT5,4968.5
MDM4,5410.0
MMADHC,523.5
ATXN2,5540.0
KLHDC3,921.5
FARP2,3735.5
CYTH1,3015.5
RAB5C,386.5
LXN,2097.0
LAMTOR5,372.0
ZFYVE26,4762.0
TMEM258,298.5
NBL1,7739.0
TANC2,6156.0
SUMO1,556.5
TOMM22,719.5
HTT,4313.5
ZBTB25,6445.0
OAZ1,85.0
S100A9,658.0
DDX60L,5194.5
AIP,1133.0
TET2,6486.5
BIRC6,4473.5
PSMG3,1805.0
ACSF3,5856.5
CLTA,301.0
RRM2,2338.5
PODXL2,3166.5
COX7A2,228.0
RNF139,2117.5
COX20,7355.0
TYRP1,2578.5
PRRC2B,2529.0
SNRPD1,1265.5
RWDD2B,2787.5
MTX2,1528.0
SLC38A10,3005.5
ZNF84,7797.0
ARHGAP15,5430.5
NDUFA11,6801.0
DMXL2,4571.0
PSMD8,370.0
RPS14,31.0
MAN2C1,3000.0
HTATSF1,1306.5
PPP2R5D,1954.5
SPOCK2,5811.5
CBX1,1364.0
PIK3R1,3645.5
NUP210,4591.0
TRIM27,6452.5
COMMD7,1768.0
PAF1,1929.5
RPS25,28.0
DBN1,2580.5
ASNSD1,1587.5
SNRNP27,1629.5
MED8,1938.0
MIRLET7B,7720.5
ILF2,361.0
PTPRC,2375.0
HAX1,609.0
AHSA1,609.5
GEMIN6,2650.0
ENOPH1,1366.5
C17orf58,3114.5
WDFY2,5242.0
CAMTA1,6042.5
HERC2,5456.5
RBPMS,4666.5
FARSA,1353.0
EMP3,247.0
CAMLG,2218.0
SFMBT2,6405.5
CCNA2,3367.0
PARP15,7092.0
TTC1,1019.5
KIAA1109,5218.0
LIX1,7884.5
RPL18,124.5
VAMP5,949.5
PARP9,2757.0
ZNF518A,5741.5
ZNF451,5350.0
TMEM203,1748.5
BRD2,4475.5
CTDNEP1,722.0
AP3S2,7760.0
DNTTIP1,2047.5
CRISPLD1,4870.5
SMARCA2,2572.5
UHRF2,4776.0
GPN3,2339.5
DCTPP1,1704.5
ZZEF1,4990.0
FGD2,6038.5
NIFK,2000.5
IDH3B,1212.5
ARFRP1,4469.0
EPG5,5208.5
AFF1,3798.0
C9orf16,7727.0
PARK7,149.5
CPE,2851.0
MCM4,1707.5
DMXL1,4847.5
DDX39A,989.5
OBSCN,7388.0
DOCK4,5537.5
EIF2B2,1833.0
THADA,5553.0
TRIOBP,4430.5
TMEM97,2920.0
FRYL,5288.5
TRIAP1,1685.5
SGSM3,2405.5
CEP55,3880.0
NT5DC2,2199.0
PSMA7,155.5
AURKA,3098.0
TAF9,1309.5
ID4,3851.0
TXN2,632.0
ERAP2,4060.5
JAGN1,1581.5
MAP3K13,6123.5
ERP29,276.5
PRADC1,2749.0
MBD5,6514.0
PMEL,24.5
MCM3,904.5
PGRMC1,535.5
MKLN1,3810.0
ISYNA1,2744.0
NDUFS2,687.5
OST4,171.0
XPNPEP3,6223.5
IL10RA,3381.5
ZCRB1,1606.5
CHCHD1,2033.5
BOLA1,3524.5
YLPM1,4230.5
POLE3,1306.0
CCDC14,4641.5
NAA20,675.5
CBX6,4287.0
NRSN2,2557.5
TAP2,6485.5
KIF20A,4394.0
TMEM117,3579.0
TTLL3,6919.5
DIMT1,2028.5
RPS4Y1,2692.5
CARS2,2781.5
KDM4C,5894.0
TRIM66,6757.5
SIGMAR1,1031.5
RPS6KA5,5551.5
ARMC1,2075.5
FAM111A,3848.5
SBDS,442.0
ITK,6553.5
RFC4,2786.0
ASCC3,5081.5
SPN,6578.5
VLDLR,2984.0
NUSAP1,2035.5
SLC12A6,5519.5
GTPBP1,3487.5
PWP1,1151.0
DYNLT1,553.5
RABAC1,905.0
CLOCK,5454.0
C18orf21,2638.0
CDK2AP1,493.5
SDHB,560.0
HMGN4,663.0
EIF2B1,1376.5
HLA-B,483.0
TMEM126B,1824.0
CCND2,5670.0
SLC35A1,2935.0
UQCRC1,443.0
VPS28,548.0
BAZ2B,5551.0
UBR4,3750.5
CLPP,1677.0
MON2,4877.0
LPIN1,4074.5
PAM16,7593.0
TRIM63,2173.5
TMEM11,2966.5
PTGES3,322.5
PAFAH1B3,2806.0
ERICH1,5739.0
TANGO2,4668.0
EPDR1,3199.0
BAG3,2345.0
COG5,3907.5
UXT,828.5
GPATCH4,1857.5
NOL4,7918.5
SPESP1,6894.0
ITGA4,4898.5
PPM1G,858.0
REL,6319.5
HDDC2,1202.5
MRPL50,1983.5
JADE2,4342.0
UBTD2,2695.5
CENPW,3373.5
NRN1,3512.5
TUFM,410.0
TUBG1,2372.5
GTF2B,1682.5
ARID1B,4553.5
MEF2D,3294.0
BAG6,4329.0
YRDC,2803.5
BABAM1,1597.5
SIPA1L1,5616.5
C7orf25,4200.0
PDRG1,2569.5
MRFAP1L1,796.5
HLA-C,996.0
DPM3,1691.5
ITGB8,6705.0
HELB,7035.0
RASSF5,4993.0
SSH2,5065.0
C8orf33,1565.5
MYO18A,4011.0
CORO2B,5519.5
BRAF,5655.0
DENND1A,5294.0
CREB3,2258.0
SAE1,927.5
ZC3H6,6747.0
PNO1,2175.0
ATP9B,6216.0
ALPK1,5740.0
PLIN2,801.0
MED19,4131.0
LAPTM4B,317.5
AGO1,4505.5
ZMYND19,3084.0
CD6,6701.0
C3,1662.5
PSMG1,1402.0
PPP1R10,6608.0
DNHD1,7285.5
JMJD1C,4285.0
WDFY3,5297.5
CRABP2,4696.5
BPGM,2763.5
PCGF5,3659.0
OSBPL3,5124.0
UVSSA,6003.0
CDK5,2353.0
ATF7IP,3919.5
STK17B,4020.5
ABCA2,5470.5
CD37,4498.5
MRPL41,1135.5
CCT7,266.0
TBC1D22A,4392.0
SH3BP5,6744.5
DST,4707.5
MRPL32,1888.5
ILVBL,1218.0
C7,5888.5
BOD1,1960.25
GSTO1,237.5
DTD1,1851.5
NKTR,4166.5
MRPL11,2342.5
ELMO1,6309.5
BLVRA,1015.0
APCDD1,5722.0
CCDC51,3398.5
DNAJC10,1891.0
NF1,4779.0
MIRLET7BHG,7479.0
NIPSNAP3A,2428.0
ATXN7,5309.5
TMEM126A,1668.5
PPP1R16B,6133.0
DTYMK,2073.5
PPARA,6013.5
CD38,5753.5
UROD,1211.0
C14orf119,1937.5
SPIC,7739.0
EXTL2,3224.0
RHOH,6583.5
NSD1,4546.5
TIMM21,2366.5
TSR3,2145.0
MRPL48,2250.0
PABPN1,5118.0
ATG16L2,6054.5
TAF7,616.5
TTBK2,6516.5
TMC8,5898.0
MOSPD1,3131.0
CDC20,3064.5
CYFIP2,5449.0
ATP8A1,6107.25
MICALL2,6124.5
TEX30,3409.0
MRPS18A,2202.0
ABCC3,6903.5
SPG7,3559.5
KIAA1671,6334.0
TAOK1,3915.0
USP5,1608.5
IQCK,4147.0
STIP1,461.5
ITPR2,4776.5
CCDC88B,6844.5
RBX1,4284.5
GON4L,4921.0
VPS8,4359.5
SURF1,1338.5
GNAI1,3484.0
TNRC6A,4467.0
RPS16,26.0
PARP8,5279.5
DNTTIP2,1595.5
GCNT2,5435.5
GPN1,2117.5
TMED8,5685.5
RC3H2,4963.5
G6PC3,1215.0
PRDM2,4402.0
COPS7A,1081.5
FAM53B,4317.5
AURKB,3325.5
ACAP1,5979.0
C11orf1,3471.5
FBXL20,6286.5
NDN,2924.5
NCKAP1L,3147.0
MRPL39,1850.0
ST6GAL1,1490.0
KDM7A,5371.5
RPS20,38.0
ATR,5643.5
CHMP4B,544.5
CNPY4,3057.0
DNAJB9,1603.5
TXNDC9,2708.0
CHD2,3836.5
ATL3,3223.0
ARHGEF7,4106.5
FSCN1,1872.0
BIRC7,1496.0
CELSR1,6048.0
ARF5,879.0
HIVEP2,5267.0
CFH,3445.0
RBMX2,2314.0
RPL39L,2872.0
DGUOK,1105.0
SDHD,601.0
ARID1A,3387.5
ATP6V1G1,318.0
CYB5R1,793.0
ZC3H15,952.0
HSPB1,149.5
PSMC2,834.0
DIRAS1,4124.5
ZXDC,5607.0
TRAPPC5,2073.0
MBNL3,6446.5
WDR54,3396.0
DDX41,1779.0
SGCB,2767.0
MAGED2,261.5
RICTOR,5029.0
TBC1D2B,3519.0
HMGN1,507.0
SLC9A7,6990.5
ANKRD12,4641.5
CLP1,3533.5
ATG7,5204.5
PWP2,3266.5
BRWD3,6110.0
EID2,3095.0
XRN1,4502.0
PDPR,4364.5
HOXB7,3072.5
UBE2M,1156.0
NDUFS4,574.0
FKBP10,673.0
AHCY,559.0
CLK1,1689.0
NSA2,600.5
SMG6,5117.0
FAM50A,911.5
CLMN,6062.0
NLRC3,6912.0
CENPQ,4187.5
DNAH14,7261.5
MFSD5,2133.5
RPL24,29.5
NUP214,4218.5
RACGAP1,2702.5
MDC1,7206.5
MRPL35,1857.5
HEG1,4460.0
CCL13,5463.0
CHFR,4257.5
AAR2,2070.0
DDX3Y,6025.0
EPB41L2,2812.0
STX10,1602.0
PHF12,4875.0
MYL6B,1908.0
UBALD2,1536.5
PLEC,3114.5
MMP2,920.5
PPM1K,5316.5
IL32,2993.5
ZNF264,6195.5
DKC1,1168.0
MACF1,3629.0
LETMD1,2214.5
MRPS10,1455.0
WDR27,6849.5
SNW1,1079.5
FABP4,4624.5
KIF13B,5117.5
SLC25A11,1660.0
NACC2,5033.0
SLC25A4,2788.0
FER,6358.0
CRYBG3,6244.0
PRC1,2915.0
VPS72,1968.0
DCTN5,3359.0
ABCA5,5812.5
TRAF1,4930.0
CEP85L,6401.5
APEX1,355.0
TNFAIP2,2554.0
MGA,5577.5
POLR2H,1172.0
CSNK1E,2228.0
SSB,669.5
COBLL1,6297.5
VSIG4,1805.0
ERAL1,2468.0
FBXL4,5360.0
TMX2,775.5
PARP12,3578.5
ZNF445,6259.0
AZIN1,767.0
NBEA,7039.0
INPP4A,4657.0
PPP1R14B,795.0
CCDC57,6602.5
FAM136A,1666.0
HELZ2,5880.0
IFT46,3414.0
SMIM4,1916.0
CREBBP,3831.5
ELOVL1,891.0
ORMDL2,2042.0
HINT1,148.0
CLTB,1885.0
MGAT5,2044.0
ZCCHC17,1393.5
NCOR2,3343.5
DNAJB11,950.0
CRTAC1,5592.0
MOB4,7901.5
ARHGAP27,6977.0
SP140L,6283.0
RASGRP1,6486.5
KDM5D,6982.5
FAM102A,3114.0
RRAGA,909.5
CCDC43,2341.0
HPRT1,1569.5
RHOC,505.5
BTBD6,1886.0
RPS27A,52.0
NDUFB5,435.0
IGBP1,1024.0
UBE2E3,1597.5
MRPL27,1998.0
MRPL10,1791.0
LTBP3,3547.5
IL4R,3525.5
MAD2L2,2218.5
NADSYN1,3977.5
TCN2,1763.5
PDXK,3819.5
GLRX2,3075.0
PRR13,799.0
ZNF292,5346.0
FKBP3,1073.5
CCDC88C,6754.5
CPVL,994.0
ANAPC13,1394.0
LRRFIP1,2151.5
MAU2,4083.5
ATP6V1D,891.0
SGSH,4498.0
PUS3,3951.0
TBC1D10C,6001.0
ARV1,2171.5
PIH1D1,1674.0
C5orf15,685.0
GPRIN3,6093.5
BCL9L,4730.5
TOMM34,2432.0
LRRK1,6175.0
MYO1F,4651.5
ZNF830,3343.5
PRR14L,4939.5
TRUB2,1768.5
CACYBP,1678.0
ATP6V0E1,126.5
MYSM1,5119.0
C1orf50,4118.5
PTK7,2928.0
RCN2,771.5
MRPL57,2798.5
DCTD,934.5
DDT,7616.0
ADSL,920.0
CBR1,1227.5
TYROBP,319.0
SNRPA,1742.0
PEX11B,2377.0
ANKRD39,3596.0
RPA2,1373.5
EPSTI1,5033.0
CSNK1D,2021.5
LYRM2,4629.0
SPATA13,4660.5
SNX7,3089.5
PHF5A,1516.5
TNC,2384.0
USB1,4037.5
TMEM9B,1127.5
TOP2A,1870.0
MYLK,4060.0
PRR12,5570.5
APOL3,3471.5
FIBP,1777.0
TBL2,2265.0
TRUB1,3465.5
GRPEL1,2359.0
THYN1,2143.0
SLC2A1,2720.5
PIK3C2B,6401.0
INSR,5589.0
ATF7,4623.5
RPL35A,29.0
CDS2,3436.5
FAM89B,1702.5
DNM2,3203.0
ZNF460,7283.5
RAPH1,5196.5
CBL,4650.0
AGAP3,3101.5
C18orf32,7677.5
MYO19,5279.0
HPCA,7785.5
ZDHHC21,6194.0
AVL9,4088.5
TBC1D14,3689.5
ODC1,1115.5
CSF2,7811.75
RELT,6224.0
GNL3,666.0
AHNAK2,6479.0
SRRD,2212.0
DUSP14,2752.5
IMP4,1226.5
PDCL3,2400.0
KLF7,6000.5
NAV2,3997.0
UTY,7673.0
RPF1,1817.0
FH,1075.0
METTL5,1961.0
MTHFR,4673.5
MAGED1,658.5
RAB4B,7291.0
VPS26A,1159.5
MRPL23,1211.5
SMIM15,1641.0
DYNLL1,130.5
DGKA,5708.5
SNAPC5,2963.0
GUK1,620.0
FN3KRP,1951.0
PRKCB,5975.5
RPL39,83.5
YEATS4,2609.0
NFIB,5331.0
DISC1,7879.0
SMARCA1,2505.5
PDLIM5,3538.0
MRPL2,2731.0
CXCL12,1680.0
TTC7A,5637.0
AGO2,5581.5
HLA-DMA,4563.0
HEBP1,1393.0
DIP2A,5224.5
POP4,2956.5
COX7A2L,483.5
RASSF4,3150.5
IFITM2,193.5
CCL8,4883.5
BRMS1,1839.5
SMCR8,4561.0
TGDS,2746.5
MTFR1,3778.5
CD47,1698.0
PPHLN1,3230.5
NIF3L1,2989.0
TFB2M,2645.0
TBC1D5,3436.0
GK5,6466.0
SF3B4,1403.5
ELP5,2584.5
TTC39C,5688.5
NR2F6,2588.5
CDC123,1364.0
CDC37,391.0
DPY30,2384.0
DYNLRB1,935.0
SH3TC2,7264.5
FGD3,6571.0
SBF1,3343.5
TAF9B,2839.0
ISCA1,2056.5
TALDO1,514.5
POLR3C,2301.0
HLA-A,484.5
CIB1,755.5
RASGEF1B,6554.5
SCAMP3,796.5
IKBIP,3255.0
SZRD1,1591.5
TSPO,501.0
TK1,3259.5
SIGLEC1,5507.0
PPP1R3C,4965.0
GPX7,3279.5
SLC7A6,4093.0
BOD1L1,4510.5
COQ5,2246.5
NUDC,928.0
LAMTOR1,516.5
RASSF2,3066.5
TMED9,273.0
FOXO3,4810.0
NOP2,2402.5
PES1,1382.5
NABP1,4095.0
MRPS9,2532.5
SMYD2,1737.5
NAGK,1972.5
POLR2K,579.0
CSE1L,997.5
DENND4C,4628.5
TTC32,4480.0
ZNF587,5699.5
TLR6,6585.0
RABL6,4064.0
MRPL55,2055.0
MOB1A,1702.5
SRGAP1,5799.5
POM121C,4750.5
RABGGTB,1029.5
SOSTDC1,7516.5
PPP1R18,6257.5
PRMT1,1045.5
DOCK11,5182.0
OTUD6B,3869.0
ARPC1B,320.0
EHMT1,4296.5
CD9,544.0
HAUS1,2322.0
SRM,668.5
EMC3,1100.5
MAPK8IP3,5251.0
UBR3,4604.5
GTF2F1,1387.5
PCNT,6001.5
SLA,4309.0
NT5C3B,2038.5
YY1,1778.5
LSM10,1202.5
PLAT,1122.5
MRPS24,7741.25
CMAS,1762.5
ATAD2B,6328.0
FTSJ3,2189.5
PLTP,549.5
NRP2,1712.0
LYAR,2687.0
CABIN1,3817.0
TOB1,2190.0
DENND4B,3306.0
SNTA1,4232.0
TMEM223,2827.0
APBB1IP,4957.5
DARS2,2785.5
KRCC1,1982.0
PCBD1,1493.0
NCOA7,4706.0
NFYC,3485.0
IL6R,3032.0
PARP14,2460.0
CKAP4,1438.0
ALG14,3075.0
RORA,6630.0
SRPRB,1622.5
CCDC124,1512.0
GAPDHS,5717.0
BCAP31,360.0
SLC16A4,3025.5
CHCHD7,2442.0
SMIM20,2226.5
RNASE1,141.0
ALG2,2385.0
MRPS12,2542.0
UHMK1,1736.0
FAM214A,4525.5
RHOT2,2671.0
SORBS1,4610.5
FAM126B,6011.25
EPC1,4143.0
MRPL37,859.5
