gene,median
ADORA1,5143.0
PRELP,4935.0
ATP2B4,1764.5
MDM4,1668.0
CNTN2,5830.5
TMCC2,5322.0
CDK18,2901.5
AVPR1B,6143.5
CTSE,4926.5
DYRK3,4960.0
MAPKAPK2,985.0
IL19,6025.0
IL20,6148.5
C4BPA,1915.5
CR1,6035.0
TRAF3IP3,5140.0
SYT14,6143.5
RCOR3,2836.0
TRAF5,4370.0
PPP2R5A,1028.0
NENF,752.5
ATF3,3474.0
VASH2,4622.0
PROX1,2055.0
SMYD2,2184.5
CENPF,1647.5
KCNK2,6368.0
KCTD3,1212.5
IARS2,469.5
BROX,1562.0
FBXO28,2407.0
CNIH3,5256.0
MIXL1,5173.0
PSEN2,3517.0
ZNF678,4303.0
ARF1,136.0
GJC2,4577.0
OBSCN,4949.5
RAB4A,1758.0
URB2,1764.0
GALNT2,1969.0
COG2,2205.5
ARV1,2305.0
SPRTN,3609.0
KCNK1,4247.5
SLC35F3,5133.0
GGPS1,1977.0
EDARADD,4506.5
LGALS8,2479.0
MTR,2687.0
FMN2,6025.0
KMO,5256.0
EXO1,2524.0
ZBTB18,3254.5
DESI2,1463.0
EFCAB2,4269.0
CNST,3340.0
SCCPDH,1305.0
NLRP3,6064.0
PGBD2,4228.0
C1orf159,3900.0
SDF4,553.0
UBE2J2,2252.0
SSU72,888.0
CFAP74,4291.0
FAAP20,3188.0
PEX10,3351.0
MEGF6,3766.5
LRRC47,1962.0
NPHP4,3967.0
RPL22,1214.0
ICMT,1287.0
GPR153,3823.0
ACOT7,2782.0
HES2,4936.0
KLHL21,1944.0
DNAJC11,2008.0
TNFRSF9,5149.5
ERRFI1,443.0
CLSTN1,877.0
CTNNBIP1,2289.0
LZIC,1253.0
DFFA,935.0
CASZ1,3921.0
C1orf127,5667.0
SRM,696.0
EXOSC10,977.5
MTOR,2737.0
FBXO2,2060.0
CASP9,2873.0
ZBTB17,3012.0
HSPB7,5518.0
FAM131C,4907.0
ARHGEF19,4037.0
FBXO42,2811.0
SDHB,251.5
TAS1R2,5940.5
ALDH4A1,1719.0
UBR4,610.0
EMC1,1893.0
AKR7A3,3275.5
AKR7A2,1191.0
CAPZB,2031.0
TMCO4,3068.0
RNF186,5457.0
PLA2G2A,2776.5
ECE1,1444.0
RAP1GAP,2498.5
USP48,3163.5
HSPG2,1941.0
WNT4,5096.0
HTR1D,5253.0
GALE,1765.0
IFNLR1,4220.5
STPG1,4529.5
RUNX3,3883.0
SYF2,2446.0
RHCE,5076.0
AUNIP,4305.0
PAQR7,3856.0
SLC30A2,5478.0
UBXN11,3786.0
ZNF683,5234.0
NR0B2,2795.5
MAP3K6,3697.5
FGR,5626.0
IFI6,1277.0
RPA2,1782.0
EYA3,1825.0
TAF12,2377.5
SRSF4,1690.0
MATN1,5550.0
LAPTM5,4666.5
SDC3,3322.0
PUM1,596.0
PEF1,1351.0
ADGRB2,5304.0
SPOCD1,4910.0
BSDC1,1501.0
ZBTB8OS,2929.0
SYNC,4775.0
TMEM54,2326.0
TRIM62,4123.5
CSMD2,5864.0
DLGAP3,5203.0
CLSPN,3984.0
TRAPPC3,1036.0
EVA1B,3019.0
STK40,1812.0
LSM10,2263.0
OSCP1,4993.0
CSF3R,4199.0
SNIP1,3560.0
EPHA10,4828.0
YRDC,2410.0
FHL3,3200.0
POU3F1,5579.0
PABPC4,633.0
HPCAL4,5522.0
MYCL,4633.0
RIMS3,4408.0
SLFNL1,5058.0
HIVEP3,4732.0
ZMYND12,4978.0
SLC2A1,2327.0
ELOVL1,787.0
MED8,1878.0
SLC6A9,4070.0
BEST4,4865.0
MUTYH,3512.0
PRDX1,82.0
IPP,2958.0
POMGNT1,1575.0
LRRC41,2831.0
KNCN,5816.5
MKNK1,2345.0
ATPAF1,2311.0
EFCAB14,2649.0
TAL1,5623.0
TTC39A,4352.5
TXNDC12,752.5
CC2D1B,3079.5
ORC1,2955.0
MAGOH,2411.0
LRP8,3305.5
GLIS1,5701.0
NDC1,2871.5
YIPF1,2008.0
TTC22,3905.5
DHCR24,423.0
C8B,4437.0
DAB1,5890.0
AK2,855.0
JUN,835.5
C1orf87,6197.0
KANK4,3884.0
DOCK7,2769.0
ITGB3BP,3779.0
JAK1,950.0
SERBP1,706.0
DIRAS3,5485.0
WLS,1939.5
ANKRD13C,2888.0
PTGER3,5463.5
NEGR1,5637.5
LRRIQ3,5623.0
SLC44A5,4003.0
ZZZ3,2110.0
USP33,2814.0
AIDA,2256.0
LPAR3,5375.0
ZNHIT6,2355.0
COL24A1,5180.0
ODF2L,3783.0
GBP3,5082.0
GBP5,5857.0
ZNF644,2198.5
HFM1,5915.0
TGFBR3,3452.0
DNTTIP2,2247.5
GCLM,561.0
CNN3,463.0
DPYD,3764.0
FRRS1,1626.0
SASS6,3225.0
COL11A1,5434.0
VAV3,4790.0
HENMT1,4523.5
AKNAD1,5914.0
CLCC1,1791.0
WDR47,3971.0
TAF13,768.0
PSRC1,2333.0
SORT1,2081.0
AMIGO1,4400.0
GSTM3,1711.5
LAMTOR5,1321.5
KCNA2,6220.0
LRIF1,2718.0
WDR77,2738.5
KCND3,5637.0
ST7L,3593.0
RHOC,682.0
PPM1J,4875.5
